event_title,medal,country,athlete,athlete_url,gender,participant_type,year,city
12.5km Pursuit,GOLD,France,Quentin FILLON MAILLET,https://olympics.com/en/athletes/quentin-fillon-maillet,Men,Athlete,2022,beijing
12.5km Pursuit,SILVER,Norway,Tarjei BOE,https://olympics.com/en/athletes/tarjei-boe,Men,Athlete,2022,beijing
12.5km Pursuit,BRONZE,ROC,Eduard LATYPOV,https://olympics.com/en/athletes/eduard-latypov,Men,Athlete,2022,beijing
Mixed Relay 4x6km (W+M),GOLD,Norway,,,Mixed,GameTeam,2022,beijing
Mixed Relay 4x6km (W+M),SILVER,France,,,Mixed,GameTeam,2022,beijing
Mixed Relay 4x6km (W+M),BRONZE,ROC,,,Mixed,GameTeam,2022,beijing
12.5km Mass Start,SILVER,Norway,Tiril ECKHOFF,https://olympics.com/en/athletes/tiril-eckhoff,Women,Athlete,2022,beijing
12.5km Mass Start,GOLD,France,Justine BRAISAZ,https://olympics.com/en/athletes/braisaz,Women,Athlete,2022,beijing
12.5km Mass Start,BRONZE,Norway,Marte Olsbu ROEISELAND,https://olympics.com/en/athletes/marte-olsbu-roeiseland,Women,Athlete,2022,beijing
10km Pursuit,SILVER,Sweden,Elvira OEBERG,https://olympics.com/en/athletes/elvira-oeberg,Women,Athlete,2022,beijing
10km Pursuit,BRONZE,Norway,Tiril ECKHOFF,https://olympics.com/en/athletes/tiril-eckhoff,Women,Athlete,2022,beijing
10km Pursuit,GOLD,Norway,Marte Olsbu ROEISELAND,https://olympics.com/en/athletes/marte-olsbu-roeiseland,Women,Athlete,2022,beijing
10km Sprint,SILVER,France,Quentin FILLON MAILLET,https://olympics.com/en/athletes/quentin-fillon-maillet,Men,Athlete,2022,beijing
10km Sprint,GOLD,Norway,Johannes Thingnes BOE,https://olympics.com/en/athletes/johannes-thingnes-boe,Men,Athlete,2022,beijing
10km Sprint,BRONZE,Norway,Tarjei BOE,https://olympics.com/en/athletes/tarjei-boe,Men,Athlete,2022,beijing
7.5km Sprint,SILVER,Sweden,Elvira OEBERG,https://olympics.com/en/athletes/elvira-oeberg,Women,Athlete,2022,beijing
7.5km Sprint,GOLD,Norway,Marte Olsbu ROEISELAND,https://olympics.com/en/athletes/marte-olsbu-roeiseland,Women,Athlete,2022,beijing
7.5km Sprint,BRONZE,Italy,Dorothea WIERER,https://olympics.com/en/athletes/dorothea-wierer,Women,Athlete,2022,beijing
4x6km Relay,GOLD,Sweden,,,Women,GameTeam,2022,beijing
4x6km Relay,SILVER,ROC,,,Women,GameTeam,2022,beijing
4x6km Relay,BRONZE,Germany,,,Women,GameTeam,2022,beijing
15km Mass Start,SILVER,Sweden,Martin PONSILUOMA,https://olympics.com/en/athletes/martin-ponsiluoma,Men,Athlete,2022,beijing
15km Mass Start,BRONZE,Norway,Vetle Sjaastad CHRISTIANSEN,https://olympics.com/en/athletes/vetle-sjaastad-christiansen,Men,Athlete,2022,beijing
15km Mass Start,GOLD,Norway,Johannes Thingnes BOE,https://olympics.com/en/athletes/johannes-thingnes-boe,Men,Athlete,2022,beijing
20km Individual,BRONZE,Norway,Johannes Thingnes BOE,https://olympics.com/en/athletes/johannes-thingnes-boe,Men,Athlete,2022,beijing
20km Individual,SILVER,Belarus,Anton SMOLSKI,https://olympics.com/en/athletes/smolski,Men,Athlete,2022,beijing
20km Individual,GOLD,France,Quentin FILLON MAILLET,https://olympics.com/en/athletes/quentin-fillon-maillet,Men,Athlete,2022,beijing
4x7.5km Relay,GOLD,Norway,,,Men,GameTeam,2022,beijing
4x7.5km Relay,SILVER,France,,,Men,GameTeam,2022,beijing
4x7.5km Relay,BRONZE,ROC,,,Men,GameTeam,2022,beijing
15km Individual,GOLD,Germany,Denise HERRMANN,https://olympics.com/en/athletes/denise-herrmann,Women,Athlete,2022,beijing
15km Individual,SILVER,France,Anais CHEVALIER,https://olympics.com/en/athletes/anais-chevalier,Women,Athlete,2022,beijing
15km Individual,BRONZE,Norway,Marte Olsbu ROEISELAND,https://olympics.com/en/athletes/marte-olsbu-roeiseland,Women,Athlete,2022,beijing
Mixed Relay 2x6km + 2x7.5km (W+M),GOLD,France,,,Mixed,GameTeam,2018,pyeongchang
Mixed Relay 2x6km + 2x7.5km (W+M),SILVER,Norway,,,Mixed,GameTeam,2018,pyeongchang
Mixed Relay 2x6km + 2x7.5km (W+M),BRONZE,Italy,,,Mixed,GameTeam,2018,pyeongchang
20km Individual,GOLD,Norway,Johannes Thingnes BOE,https://olympics.com/en/athletes/johannes-thingnes-boe,Men,Athlete,2018,pyeongchang
20km Individual,SILVER,Slovenia,Jakov FAK,https://olympics.com/en/athletes/jakov-fak,Men,Athlete,2018,pyeongchang
20km Individual,BRONZE,Austria,Dominik LANDERTINGER,https://olympics.com/en/athletes/dominik-landertinger-1,Men,Athlete,2018,pyeongchang
15km Individual,GOLD,Sweden,Hanna OEBERG,https://olympics.com/en/athletes/oeberg,Women,Athlete,2018,pyeongchang
15km Individual,SILVER,Slovakia,Anastasiya KUZMINA,https://olympics.com/en/athletes/anastasiya-kuzmina-1,Women,Athlete,2018,pyeongchang
15km Individual,BRONZE,Germany,Laura DAHLMEIER,https://olympics.com/en/athletes/laura-dahlmeier,Women,Athlete,2018,pyeongchang
10km Sprint,GOLD,Germany,Arnd PEIFFER,https://olympics.com/en/athletes/arnd-peiffer,Men,Athlete,2018,pyeongchang
10km Sprint,SILVER,Czech Republic,Michal KRCMAR,https://olympics.com/en/athletes/michal-krcmar,Men,Athlete,2018,pyeongchang
